UUID: f08c55e0-31af-4d4f-abce-20a7e807dae6
NEW CROP, APPLE, amount: 853kg, in week: 22


UUID: 333d62b9-0137-4ccf-87a4-5dcd6b6fcd7d
NEW CROP, SALAD, amount: 239kg, in week: 14


UUID: 3901fa29-9727-4ef2-b921-a9a83562cf1e
NEW CROP, SUNFLOWER, amount: 918kg, in week: 10


UUID: a2a8e6a2-c375-4317-bf7e-c2fdaebadf59
NEW CROP, SUNFLOWER, amount: 302kg, in week: 10


UUID: 0232ae7e-40d8-4302-b673-19843e70be1e
NEW CROP, FLEX, amount: 738kg, in week: 11
CROPT HAS BEEN SHIPPED, FLEX, amount: 738kg, in week:11
NEW PRODUCT, Flex powder, amount: 553kg, shop price: 40.0 in week:11 by7e13ae06-9ac1-426f-bc58-1726e61d33e5
PRODUCT HAS BEEN SHIPPED, Flex powder, shop price: 40.0 in week:12
PRODUCT HAS BEEN PURCHASED, Flex powder, amount: 5kg, shop price: 40.0 in week:12 by customer 7dfafab9-eeba-4dca-bf4c-d29d55b2f7ac
PRODUCT HAS BEEN PURCHASED, Flex powder, amount: 10kg, shop price: 40.0 in week:12 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Flex powder, amount: 10kg, shop price: 40.0 in week:13 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Flex powder, amount: 9kg, shop price: 40.0 in week:14 by customer badcc8d5-3fb3-43c3-b658-beb8dea5a912
PRODUCT HAS BEEN PURCHASED, Flex powder, amount: 10kg, shop price: 40.0 in week:14 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Flex powder, amount: 10kg, shop price: 40.0 in week:15 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
PRODUCT HAS BEEN PURCHASED, Flex powder, amount: 10kg, shop price: 40.0 in week:17 by customer 36ec8571-34be-4d6c-97ef-1e52fd0d0999
THE REST OF PRODUCT WAS SPOILED, in week:17


UUID: 1de4e78f-2bbf-4ce5-a074-7e6506295d10
NEW CROP, CORN, amount: 167kg, in week: 15


UUID: 4d5fe1ef-0982-47e7-a51d-ccf5ce234902
NEW CROP, HEMP, amount: 102kg, in week: 23


UUID: b5132638-d7b7-4b8a-af0f-41616baa0acd
NEW CROP, APPLE, amount: 601kg, in week: 10


UUID: ca442a56-cdf8-4bd5-9167-13e476557ac8
NEW CROP, SALAD, amount: 578kg, in week: 13


UUID: bb14ee00-a8cb-45a0-acee-2353853a46dc
NEW CROP, PEAR, amount: 683kg, in week: 1
CROPT HAS BEEN SHIPPED, PEAR, amount: 683kg, in week:1
NEW PRODUCT, PEAR, amount: 683kg, shop price: 97.57 in week:1 by7efd85f5-9614-436e-a024-da9b68cfb3c9
PRODUCT HAS BEEN SHIPPED, PEAR, shop price: 97.57 in week:2
PRODUCT HAS BEEN PURCHASED, PEAR, amount: 10kg, shop price: 97.57 in week:2 by customer ef0b3a8e-86be-44ed-8bac-66453f6ca9d3
